GATE_HI_SH: 245.2298,-509.8243,205.797,-366.5,1,0
SH_B15: -2327.796,-377.4674,-1687.162,-250.9663,1,2
SH_B16: 1326.619,-73.44323,934.1985,-131.5675,0,1
SH_B17: -1203.322,-456.682,-945.3538,-395.2245,1,0
SH_C01: 893.1544,356.6048,610.4388,313.9445,2,1
SH_C02: -612.8445,87.60463,-523.5615,80.94425,1,1
SH_C03: 1716.157,396.6046,1179.439,303.9441,2,1
SH_C04: -289.845,87.60463,-175.5616,-22.05581,1,1
SH_C05: 200.1552,60.60461,98.43835,99.94383,1,1
SH_C07: 517.1555,93.60482,440.4386,-24.05612,1,1
SH_C08: 731.1541,500.6045,481.4386,436.9441,1,1
SH_C09: -765.7983,-455.4677,-637.1624,-394.9666,1,0
SH_C10: -1867.797,-157.4677,-1447.162,-60.96615,1,0
SH_C11: 888.8895,742.2236,695.6227,544.6895,1,1
SH_C12: 1490.883,-259.829,1008.646,-271.3565,0,1
SH_C13: 2835.195,178.5188,1926.656,31.75017,0,0
SH_D01: -1314.841,75.60461,-1065.563,80.94424,1,1
SH_D02: 682.1541,-362.3955,392.4386,-377.0559,0,1
SH_D03: -5399.842,-68.39531,-3809.562,44.94412,1,2
SH_E01: -4258.843,-501.3953,-3193.562,-300.0556,0,2
SH_E02: 1880.156,-78.39546,1156.439,-141.0558,0,1
SH_E03: -5059.844,-476.3954,-3724.562,-286.0556,0,2
SH_E04: -3446.005,-505.4835,-2660.439,-307.5359,0,2
SH_E05: 2891.997,772.5162,1982.559,690.4636,1,1
SH_H01: -2735.005,-443.4838,-2117.44,-310.5356,0,2
SH_S01: 669.1555,-463.3951,539.4385,-482.0559,0,0
SH_S02: -142.8447,16.60449,-41.56162,-29.05558,2,0
SH_S03: -438.2207,-523.4926,-286.2455,-503.8976,1,0
SH_S04: 896.7437,105.2614,709.0983,60.28282,1,0
SH_S05: 2481.425,667.0035,1874.212,571.4926,1,0
SH_S06: 3046.613,114.1466,2136.577,-98.58669,0,0
SH_S07: 98.22983,-510.8243,90.79705,-368.5,1,0
SH_S08: -5624.175,-347.7311,-3964.388,-205.8823,1,0
SH_S09: -2028.723,-245.5994,-1450.328,-197.1453,1,0
SH_S10: 1562.404,155.0768,1186.616,172.235,1,0
OffScreenDen_SH: 777.1541,-942.3958,-93.56165,-89.05562,1,1
Connection: GATE_SH_DS,SH_C13,2,9,146,16,2,0
Connection: GATE_SH_DS,SH_S06,11,5,32,19,3,0
Connection: GATE_SH_HI,SH_E05,2,11,243,19,2,0
Connection: GATE_SH_SB,SH_A07,2,11,46,15,2,0
Connection: GATE_SH_UW,SH_D03,2,11,99,56,2,0
Connection: SH_A04,SH_C05,48,31,5,26,0,2
Connection: SH_A04,SH_C04,5,31,41,62,2,3
Connection: SH_A04,SH_A17,49,10,2,26,0,2
Connection: SH_A05,SH_A16,49,26,2,6,0,2
Connection: SH_A05,SH_A21,11,4,3,27,3,2
Connection: SH_A06,SH_B04,9,5,64,2,2,3
Connection: SH_A06,SH_A22,38,7,8,32,3,1
Connection: SH_A07,SH_B07,38,29,6,6,1,3
Connection: SH_A07,SH_C09,2,15,144,28,2,0
Connection: SH_A07,SH_S03,15,1,13,23,3,1
Connection: SH_A08,SH_C11,45,9,3,99,0,2
Connection: SH_A09,SH_C03,44,8,2,30,0,2
Connection: SH_A09,SH_A12,26,3,18,24,3,3
Connection: SH_A10,SH_C04,16,3,13,119,3,1
Connection: SH_A11,SH_C01,4,30,127,5,2,0
Connection: SH_A11,SH_B05,4,16,100,21,2,0
Connection: SH_A11,SH_B13,45,2,9,30,3,1
Connection: SH_A12,SH_C01,5,19,152,21,3,0
Connection: SH_A12,SH_A23,42,5,10,26,3,1
Connection: SH_A13,SH_D01,9,24,195,23,3,3
Connection: SH_A13,SH_C02,46,16,6,19,0,2
Connection: SH_A13,SH_A19,8,3,23,31,3,1
Connection: SH_A14,SH_C13,46,18,2,19,0,2
Connection: SH_A14,SH_B03,1,15,45,75,2,1
Connection: SH_A15,SH_C08,7,31,6,3,1,3
Connection: SH_A15,SH_C01,43,16,19,7,1,3
Connection: SH_A15,SH_C07,7,2,25,117,3,1
Connection: SH_A16,SH_C07,2,27,49,20,2,0
Connection: SH_A17,SH_B02,45,26,4,7,0,2
Connection: SH_A21,SH_B02,3,20,100,32,2,1
Connection: SH_A22,SH_B01,23,32,48,19,1,3
Connection: SH_A23,SH_C03,40,32,5,13,1,2
Connection: SH_A23,SH_B13,10,5,91,32,3,1
Connection: SH_A23,SH_S10,40,5,17,19,3,2
Connection: SH_A24,SH_D03,43,20,6,6,1,3
Connection: SH_A24,SH_S08,6,20,11,27,3,1
Connection: SH_A24,SH_B09,43,4,22,71,3,1
Connection: SH_A25,SH_B11,5,32,24,9,1,3
Connection: SH_A25,SH_B17,46,14,3,11,0,2
Connection: SH_A26,SH_B05,9,22,9,3,1,3
Connection: SH_A26,SH_C07,4,10,49,55,2,0
Connection: SH_B01,SH_B08,102,26,9,12,0,2
Connection: SH_B01,SH_B04,14,4,101,31,3,0
Connection: SH_B02,SH_D02,94,2,10,31,3,1
Connection: SH_B03,SH_E02,4,12,251,28,2,0
Connection: SH_B04,SH_C03,16,2,146,19,3,0
Connection: SH_B05,SH_S04,45,3,15,26,3,2
Connection: SH_B06,SH_B13,32,68,9,3,0,3
Connection: SH_B06,SH_B16,44,37,2,6,0,2
Connection: SH_B07,SH_C04,40,66,25,10,1,3
Connection: SH_B08,SH_E05,11,59,10,7,2,3
Connection: SH_B09,SH_E03,43,5,3,3,0,3
Connection: SH_B10,SH_C12,97,32,10,19,1,3
Connection: SH_B10,SH_D02,2,11,200,11,2,0
Connection: SH_B11,SH_D01,40,71,19,3,1,3
Connection: SH_B11,SH_C10,3,57,148,27,2,0
Connection: SH_B12,SH_C10,44,67,3,27,0,2
Connection: SH_B12,SH_S09,45,5,11,9,0,3
Connection: SH_B12,SH_B15,6,9,42,58,3,0
Connection: SH_B15,SH_H01,3,11,195,47,2,3
Connection: SH_B16,SH_E02,99,6,10,8,0,3
Connection: SH_B17,SH_C09,100,15,3,14,0,2
Connection: SH_C02,SH_C04,150,16,6,62,3,3
Connection: SH_C04,SH_S02,46,38,16,18,0,2
Connection: SH_C05,SH_C07,142,15,11,52,0,3
Connection: SH_C08,SH_C11,144,32,38,12,1,3
Connection: SH_C12,SH_E02,144,31,68,9,1,3
Connection: SH_D02,SH_S01,118,9,29,19,3,0
Connection: SH_E01,SH_E03,20,3,247,5,3,3
Connection: SH_E01,SH_E04,245,4,16,4,3,3
Connection: SH_E04,SH_H01,250,4,11,6,3,3
Connection: SH_E05,SH_S05,29,4,35,17,3,0
