GATE_SU_DS: -1791.269,-90.14697,-1365.868,-139.1698,2,0
SU_A44: -298.2482,-488.1679,-463.9097,-476.3568,2,0
OffScreenDen_SU: -1296.351,883.4476,-423.7678,530.4795,1,0
Connection: GATE_SU_DS,SU_A12,2,9,49,22,2,0
Connection: GATE_SU_CC,SU_B13,2,9,26,56,2,0
Connection: GATE_SU_LF,SU_B14,2,9,98,14,2,0
Connection: SU_B14,SU_B12,3,14,99,13,2,0
Connection: SU_B12,SU_A63,5,25,39,25,2,0
Connection: SU_A63,SU_A45,10,23,44,20,2,0
Connection: SU_A63,SU_A40,29,2,2,24,3,2
Connection: SU_A40,SU_A17,2,17,48,22,2,0
Connection: SU_A17,SU_A10,6,11,49,10,2,0
Connection: SU_A10,SU_A32,4,19,39,31,2,1
Connection: SU_A32,SU_B05,2,10,36,16,2,0
Connection: SU_B05,SU_B01,49,69,5,21,0,2
Connection: SU_B05,SU_A30,8,57,43,15,3,0
Connection: SU_B01,SU_S03,48,53,18,17,0,2
Connection: SU_B01,SU_B02,5,51,49,26,2,0
Connection: SU_B01,SU_A45,48,23,3,18,0,2
Connection: SU_A30,SU_B09,14,11,48,8,3,0
Connection: SU_B02,SU_A33,5,66,44,31,2,0
Connection: SU_B02,SU_A35,3,3,48,22,2,0
Connection: SU_A35,SU_B09,14,27,29,51,1,3
Connection: SU_B09,SU_A34,2,48,45,2,2,0
Connection: SU_B09,SU_B10,24,12,22,74,3,1
Connection: SU_B10,SU_B07,22,47,99,25,3,0
Connection: SU_A34,SU_B06,2,12,40,69,2,0
Connection: SU_B06,SU_B11,40,73,10,3,0,3
Connection: SU_B06,SU_B04,9,45,100,22,3,0
Connection: SU_B11,SU_A33,95,12,3,27,0,2
Connection: SU_A33,SU_B13,14,34,15,16,1,3
Connection: SU_B04,SU_A37,7,33,47,23,2,0
Connection: SU_B04,SU_A38,4,2,48,5,2,0
Connection: SU_B07,SU_A53,5,23,46,19,2,0
Connection: SU_A02,SU_A31,4,21,44,7,2,0
Connection: SU_A02,SU_A53,49,21,3,29,0,2
Connection: SU_A37,SU_S04,23,31,23,18,1,3
Connection: SU_A37,SU_A07,6,23,49,12,2,0
Connection: SU_A38,SU_A06,6,5,49,27,2,0
Connection: SU_A38,SU_A31,27,8,3,29,3,1
Connection: SU_A07,SU_A20,4,10,47,28,2,0
Connection: SU_A20,SU_B08,5,20,102,8,2,0
Connection: SU_A20,SU_A29,49,12,5,26,0,2
Connection: SU_A29,SU_A06,49,20,4,25,0,2
Connection: SU_A06,SU_A31,49,6,3,3,0,3
Connection: SU_A53,SU_A25,29,3,41,27,3,0
Connection: SU_B08,SU_C02,1,7,144,9,2,0
Connection: SU_C02,SU_A39,8,19,37,26,2,0
Connection: SU_A39,SU_A13,25,33,40,3,1,3
Connection: SU_A39,SU_A36,6,26,48,26,2,0
Connection: SU_A13,SU_A04,5,12,37,11,2,0
Connection: SU_A04,SU_C01,4,7,44,83,2,0
Connection: SU_C01,SU_A36,45,41,5,5,0,2
Connection: SU_C01,SU_A12,44,15,4,22,0,2
Connection: SU_A25,SU_A23,6,14,42,30,2,0
Connection: SU_A25,SU_A24,48,5,38,24,3,1
Connection: SU_A24,SU_A23,14,10,46,9,3,0
Connection: SU_A23,SU_A22,6,12,29,27,2,1
Connection: SU_A22,SU_A43,23,27,34,12,1,3
Connection: SU_A22,SU_S01,12,16,31,18,2,0
Connection: SU_C04,SU_A41,151,11,5,9,0,2
Connection: SU_A41,SU_A42,19,29,10,3,2,3
Connection: SU_A41,SU_A43,48,23,6,23,0,2
Connection: SU_A41,SU_A44,47,5,4,5,0,2
