GATE_HI_CC: 1562.444,771.1737,1107.81,518.6323,1,0
HI_A04: 571.9909,-430.681,351.1697,-408.423,2,1
OffScreenDen_HI: -554.0091,-851.4172,214.9327,971.8668,1,1
Connection: GATE_HI_CC,HI_C11,36,5,22,117,3,1
Connection: GATE_HI_DS,HI_C13,2,9,147,17,2,0
Connection: GATE_SH_HI,HI_D01,45,9,5,16,0,2
Connection: GATE_SH_HI,HI_S06,36,5,27,25,3,1
Connection: HI_C11,HI_A20,48,20,28,29,0,1
Connection: HI_C11,HI_A10,11,17,42,5,3,3
Connection: HI_A10,HI_S05,42,26,18,10,1,3
Connection: HI_A10,HI_A17,10,7,11,30,3,1
Connection: HI_A20,HI_A17,13,18,50,17,2,0
Connection: HI_A17,HI_A15,4,23,43,18,2,0
Connection: HI_A15,HI_B13,16,30,44,42,1,3
Connection: HI_A15,HI_B04,16,4,49,44,3,0
Connection: HI_B13,HI_B04,21,42,32,74,3,0
Connection: HI_B04,HI_C05,5,16,153,25,2,0
Connection: HI_B04,HI_B15,8,5,85,31,2,1
Connection: HI_C05,HI_C04,10,23,51,106,2,0
Connection: HI_B15,HI_A04,7,30,33,17,1,3
Connection: HI_C04,HI_B05,2,106,42,9,2,0
Connection: HI_C04,HI_A25,48,40,15,16,1,3
Connection: HI_C04,HI_A23,6,25,49,23,2,0
Connection: HI_A25,HI_A19,48,16,4,32,0,2
Connection: HI_A19,HI_C13,50,10,3,19,0,2
Connection: HI_C13,HI_S02,81,14,23,19,3,1
Connection: HI_B05,HI_A21,17,55,22,10,1,3
Connection: HI_B05,HI_A23,16,5,15,30,3,1
Connection: HI_A21,HI_A22,20,27,17,13,1,3
Connection: HI_A22,HI_B02,31,10,32,19,0,2
Connection: HI_B02,HI_B12,11,50,34,75,2,1
Connection: HI_B12,HI_A06,26,5,50,29,0,0
Connection: HI_A06,HI_C01,3,22,49,67,2,0
Connection: HI_C01,HI_B09,15,88,49,33,2,0
Connection: HI_C01,HI_C14,36,4,18,117,3,1
Connection: HI_C14,HI_A16,15,9,20,27,3,1
Connection: HI_A16,HI_B08,3,16,97,19,2,0
Connection: HI_A16,HI_B03,51,13,5,23,0,2
Connection: HI_B03,HI_A24,99,9,5,29,3,2
Connection: HI_B09,HI_B07,8,68,79,10,2,3
Connection: HI_B07,HI_A07,4,29,50,3,2,0
Connection: HI_A07,HI_S01,19,31,24,12,1,3
Connection: HI_A07,HI_A18,3,3,49,22,2,0
Connection: HI_A18,HI_B06,10,3,66,34,3,1
Connection: HI_B06,HI_D01,4,19,190,18,2,0
Connection: HI_B06,HI_C02,97,19,3,102,0,2
Connection: HI_C03,HI_A11,3,105,43,20,2,0
Connection: HI_C03,HI_A14,33,12,16,31,3,1
Connection: HI_A11,HI_C02,3,20,43,102,2,3
Connection: HI_C02,HI_B14,35,9,35,68,3,1
Connection: HI_B14,HI_S04,4,62,21,17,2,0
Connection: HI_B14,HI_B08,48,22,10,17,0,3
Connection: HI_B08,HI_A14,33,31,16,1,1,3
Connection: HI_A14,HI_A27,43,19,4,12,0,2
Connection: HI_A24,HI_S03,48,29,16,23,0,2
Connection: HI_A24,HI_A26,25,26,5,30,3,1
Connection: HI_A26,HI_A04,45,30,5,3,1,3
