GATE_DS_SB: -358.3125,480.375,-65.9532,87.60946,1,0
Connection: SB_B01,SB_J01,34,19,245,69,3,0
Connection: SB_B01,SB_F03,96,2,13,56,3,2
Connection: SB_B02,SB_C05,104,9,27,110,3,1
Connection: SB_B03,SB_J04,44,16,8,8,0,2
Connection: SB_C01,SB_Q01,5,4,144,10,3,0
Connection: SB_C05,SB_I01,25,17,16,115,3,1
Connection: SB_C06,SB_J01,25,115,175,8,1,3
Connection: SB_C06,SB_F02,39,76,21,116,3,1
Connection: SB_C06,SB_I01,19,20,84,117,3,1
Connection: SB_C07,SB_J02,146,6,5,49,0,2
Connection: SB_C08,SB_D01,3,5,95,11,2,0
Connection: SB_C08,SB_E01,149,5,3,5,0,2
Connection: SB_C09,SB_E06,5,99,263,17,2,0
Connection: SB_C09,SB_L01,47,23,3,106,0,2
Connection: SB_D01,SB_D07,2,65,40,11,2,0
Connection: SB_D02,SB_E05,200,24,2,18,0,2
Connection: SB_D02,SB_D05,3,5,186,3,2,0
Connection: SB_D03,SB_D07,14,3,37,145,3,1
Connection: SB_D04,SB_F01,2,146,10,12,1,3
Connection: SB_D04,SB_J03,42,142,4,19,0,2
Connection: SB_D04,SB_F02,3,10,98,97,2,0
Connection: SB_D05,SB_J04,10,3,252,55,2,0
Connection: SB_D06,SB_I01,23,144,13,16,3,3
Connection: SB_D06,SB_E05,26,15,224,17,3,1
Connection: SB_E01,SB_E06,245,5,5,7,0,2
Connection: SB_E02,SB_G02,247,26,3,25,0,2
Connection: SB_E02,SB_E04,4,7,244,12,2,0
Connection: SB_E02,SB_J03,11,2,500,34,3,1
Connection: SB_E04,SB_H03,5,12,196,9,2,0
Connection: SB_E04,SB_J03,128,5,378,34,3,1
Connection: SB_F01,SB_H03,95,94,4,9,0,2
Connection: SB_F01,SB_S07,70,73,24,16,3,1
Connection: SB_F02,SB_I01,10,12,146,115,3,1
Connection: SB_F03,SB_H03,41,16,7,72,3,2
Connection: SB_G02,SB_S02,322,1,11,17,3,1
Connection: SB_G03,SB_H02,6,5,199,47,2,0
Connection: SB_G03,SB_J01,347,5,10,8,0,2
Connection: SB_I01,SB_S01,68,117,32,25,1,0
Connection: SB_J02,SB_S06,7,69,35,4,1,0
Connection: SB_J03,SB_S03,423,10,39,24,2,1
