GATE_LF_GW: -2659.63,192.3359,-1891.992,211.5902,1,0
GW_S02: 427.2422,-670.9661,489.0043,-598.5704,1,0
GW_C06: 1127.782,-42.26353,838.6261,-256.8144,2,1
GW_A10: 1304.782,-64.2634,984.6259,-172.8139,2,1
GW_A12: 1268.783,161.7363,963.6265,-28.81402,2,1
GW_C01: 1664.782,-19.26359,1101.627,-146.8141,2,1
GW_A23: 2041.052,38.01778,1446.536,-87.73768,1,1
GW_B02: 2227.783,145.7363,1595.627,-30.81426,1,1
GW_S05: 2391.779,83.30184,1731.23,-36.62619,1,0
GW_C05: 2565.782,217.7363,1724.627,108.1858,1,1
GW_A24: 2880.671,218.0529,2074.065,115.6092,1,1
GW_E02: 1739.782,203.7363,1048.627,154.1858,1,1
GW_A11: 1237.782,321.7364,942.6262,289.1861,1,1
GW_S04: 1210.314,210.4414,930.1361,159.3504,1,0
GW_D01: 833.7825,259.7365,492.6255,205.186,1,1
OffScreenDen_GW: -221.2175,490.7368,-137.3743,694.1858,1,1
Connection: GATE_LF_GW,GW_A22,45,11,7,23,0,3
Connection: GATE_SL_GW,GW_B09,36,5,3,12,3,2
Connection: GATE_SB_GW,GW_A20,45,9,4,23,0,2
Connection: GW_A22,GW_C02,49,20,5,20,0,2
Connection: GW_C02,GW_A13,149,16,9,16,0,2
Connection: GW_A13,GW_C04,22,24,10,6,1,3
Connection: GW_A13,GW_A19,38,4,7,32,3,1
Connection: GW_C04,GW_B08,149,27,4,28,0,2
Connection: GW_B08,GW_B01,105,9,5,12,0,2
Connection: GW_A19,GW_C03,45,12,8,27,0,2
Connection: GW_C03,GW_B06,151,17,3,66,0,2
Connection: GW_C03,GW_S06,89,13,38,24,3,1
Connection: GW_B06,GW_E01,46,62,8,6,0,3
Connection: GW_B06,GW_D02,5,9,197,17,2,0
Connection: GW_E01,GW_C09,261,18,4,56,0,2
Connection: GW_D02,GW_S03,136,32,15,12,1,2
Connection: GW_D02,GW_B09,2,17,98,15,2,0
Connection: GW_B01,GW_B05,104,16,10,63,0,2
Connection: GW_B05,GW_B03,45,64,4,57,0,2
Connection: GW_B05,GW_S07,4,44,36,5,2,0
Connection: GW_B05,GW_A05,8,14,10,27,2,1
Connection: GW_A05,GW_A08,48,8,5,11,0,2
Connection: GW_A08,GW_C10,49,10,5,12,0,2
Connection: GW_C10,GW_C09,150,11,8,114,0,1
Connection: GW_C09,GW_C08,48,113,133,8,0,3
Connection: GW_C08,GW_A06,5,27,46,29,1,0
Connection: GW_C08,GW_A01,142,30,6,19,0,2
Connection: GW_A06,GW_S01,32,29,24,11,2,3
Connection: GW_A06,GW_B03,5,10,48,25,2,0
Connection: GW_B03,GW_A21,48,56,13,16,0,2
Connection: GW_B03,GW_A14,31,2,21,27,3,1
Connection: GW_A01,GW_D01,49,23,10,14,0,2
Connection: GW_A01,GW_B04,46,8,19,67,0,2
Connection: GW_B04,GW_S08,4,56,38,24,2,0
Connection: GW_B04,GW_B07,49,54,4,47,0,3
Connection: GW_B07,GW_A07,21,11,49,22,2,0
Connection: GW_A07,GW_A04,5,26,46,23,2,0
Connection: GW_A04,GW_C11,38,18,4,19,3,2
Connection: GW_A04,GW_C07,33,4,35,115,3,1
Connection: GW_C11,GW_C06,137,31,3,24,1,2
Connection: GW_C07,GW_A20,7,7,43,32,3,1
Connection: GW_A20,GW_S02,27,16,18,18,3,2
Connection: GW_C06,GW_A12,43,108,4,3,0,3
Connection: GW_C06,GW_A10,45,58,2,25,0,2
Connection: GW_A10,GW_A12,24,31,40,2,1,3
Connection: GW_A10,GW_C01,44,24,3,19,0,2
Connection: GW_C01,GW_A23,151,16,4,20,0,2
Connection: GW_A23,GW_B02,50,20,4,14,0,2
Connection: GW_B02,GW_C05,49,59,4,18,0,2
Connection: GW_B02,GW_E02,4,55,258,21,2,0
Connection: GW_B02,GW_S05,49,25,16,21,0,2
Connection: GW_C05,GW_A24,146,30,3,30,0,2
Connection: GW_E02,GW_A11,4,28,57,2,2,3
Connection: GW_A11,GW_D01,17,14,197,17,3,0
Connection: GW_A11,GW_S04,37,5,32,24,2,1
