Palette: 9
Room_Attr: GW_A14: DaddyLongLegs-1,BrotherLongLegs-1,
Room_Attr: GW_A21: DaddyLongLegs-2,BrotherLongLegs-2,
Room_Attr: GW_A01: DaddyLongLegs-2,BrotherLongLegs-2,Centipede-3,RedCentipede-3,DropBug-3,
Room_Attr: GW_B04: DaddyLongLegs-2,BrotherLongLegs-2,
Room_Attr: GW_S08: StandardGroundCreature-1,Slugcat-1,LizardTemplate-1,PinkLizard-1,GreenLizard-1,BlueLizard-1,YellowLizard-1,WhiteLizard-1,RedLizard-1,BlackLizard-1,Salamander-1,Fly-1,Leech-1,SeaLeech-1,Snail-1,Vulture-1,GarbageWorm-1,LanternMouse-1,CicadaA-1,CicadaB-1,Spider-1,JetFish-1,BigEel-1,Deer-1,TubeWorm-1,DaddyLongLegs-1,BrotherLongLegs-1,TentaclePlant-1,PoleMimic-1,MirosBird-1,TempleGuard-1,Centipede-1,RedCentipede-1,Centiwing-1,SmallCentipede-1,Scavenger-1,Overseer-1,KingVulture-1,
Room_Attr: GW_B07: DaddyLongLegs-2,BrotherLongLegs-2,Centipede-3,DropBug-3,
Room_Attr: GW_A07: Snail-3,DaddyLongLegs-2,BrotherLongLegs-2,
Room_Attr: GW_A04: DaddyLongLegs-1,BrotherLongLegs-1,Centipede-3,SmallCentipede-4,DropBug-3,
Room_Attr: GW_C11: StandardGroundCreature-1,Slugcat-1,LizardTemplate-1,PinkLizard-1,GreenLizard-1,BlueLizard-1,YellowLizard-1,WhiteLizard-1,RedLizard-1,BlackLizard-1,Salamander-1,Fly-1,Leech-1,SeaLeech-1,Snail-1,Vulture-1,GarbageWorm-1,LanternMouse-1,CicadaA-1,CicadaB-1,Spider-1,JetFish-1,BigEel-1,Deer-1,TubeWorm-1,DaddyLongLegs-1,BrotherLongLegs-1,TentaclePlant-1,PoleMimic-1,MirosBird-1,TempleGuard-1,Centipede-1,RedCentipede-1,Centiwing-1,SmallCentipede-1,Scavenger-3,Overseer-1,EggBug-1,DropBug-2,KingVulture-1,
Room_Attr: GW_C07: DaddyLongLegs-1,BrotherLongLegs-1,Centipede-3,RedCentipede-3,SmallCentipede-4,DropBug-4,
Room_Attr: GW_A20: BrotherLongLegs-1,Centipede-3,DropBug-3,
Room_Attr: GW_C06: DaddyLongLegs-1,BrotherLongLegs-1,Centipede-3,RedCentipede-3,Scavenger-3,DropBug-3,
Room_Attr: GW_A10: Snail-3,DaddyLongLegs-1,BrotherLongLegs-1,
Room_Attr: GW_A12: CyanLizard-1,DaddyLongLegs-1,BrotherLongLegs-1,Centipede-4,SmallCentipede-4,DropBug-2,
Room_Attr: GW_C01: Vulture-3,DaddyLongLegs-1,BrotherLongLegs-1,KingVulture-3,
Room_Attr: GW_A23: StandardGroundCreature-1,Slugcat-1,LizardTemplate-1,PinkLizard-1,GreenLizard-1,BlueLizard-1,YellowLizard-1,WhiteLizard-1,RedLizard-1,BlackLizard-1,Salamander-1,Fly-1,Leech-1,SeaLeech-1,Snail-1,Vulture-1,GarbageWorm-1,LanternMouse-1,CicadaA-1,CicadaB-1,Spider-1,JetFish-1,BigEel-1,Deer-1,TubeWorm-1,DaddyLongLegs-1,BrotherLongLegs-1,TentaclePlant-1,PoleMimic-1,MirosBird-1,TempleGuard-1,Centipede-1,RedCentipede-1,Centiwing-1,SmallCentipede-1,Scavenger-1,Overseer-2,EggBug-1,DropBug-3,KingVulture-1,
Room_Attr: GW_B02: Vulture-3,DaddyLongLegs-2,BrotherLongLegs-2,Centipede-3,Scavenger-3,KingVulture-3,
Room_Attr: GW_S05: DaddyLongLegs-1,BrotherLongLegs-1,
Room_Attr: GW_C05: DaddyLongLegs-1,BrotherLongLegs-1,Centipede-1,RedCentipede-1,Scavenger-3,DropBug-1,
Room_Attr: GW_A24: Vulture-2,DaddyLongLegs-1,BrotherLongLegs-1,Centipede-1,RedCentipede-1,DropBug-1,KingVulture-2,
Room_Attr: GW_E02: Vulture-3,DaddyLongLegs-2,BrotherLongLegs-2,RedCentipede-2,Scavenger-3,DropBug-2,KingVulture-3,
Room_Attr: GW_A11: DaddyLongLegs-2,BrotherLongLegs-2,Centipede-1,RedCentipede-1,DropBug-2,
Room_Attr: GW_S04: DaddyLongLegs-1,BrotherLongLegs-1,
Room_Attr: GW_D01: Vulture-3,DaddyLongLegs-2,BrotherLongLegs-2,SmallCentipede-1,KingVulture-3,
