GATE_DS_SL: -2984.1,2.00295,-2067.739,11.06669,1,0
Connection: SL_A11,SL_D05,4,5,166,30,3,1
Connection: SL_A12,SL_C02,10,31,164,7,1,3
Connection: SL_A13,SL_B01,16,33,3,29,1,3
Connection: SL_A14,SL_B02,23,33,31,13,1,3
Connection: SL_A14,SL_E03,40,4,5,4,0,2
Connection: SL_A15,SL_S06,43,32,31,20,1,0
Connection: SL_A15,SL_I01,3,21,144,66,2,0
Connection: SL_A15,SL_AI,44,3,2,30,0,1
Connection: SL_A16,SL_S10,4,26,30,26,2,0
Connection: SL_A16,SL_I01,43,13,4,62,0,2
Connection: SL_A16,SL_C09,43,3,151,32,3,1
Connection: SL_A17,SL_D06,8,27,24,22,1,3
Connection: SL_B01,SL_Q01,42,16,7,31,3,1
Connection: SL_B02,SL_C01,12,30,40,76,3,0
Connection: SL_B04,SL_E01,23,98,21,204,3,1
Connection: SL_B04,SL_C03,33,62,42,114,3,3
Connection: SL_C01,SL_D06,9,53,194,14,3,3
Connection: SL_C02,SL_C06,55,18,92,30,3,0
Connection: SL_C02,SL_E03,102,15,230,30,3,1
Connection: SL_C03,SL_E01,23,100,11,165,3,2
Connection: SL_C03,SL_Q03,16,23,95,18,3,1
Connection: SL_C04,SL_D01,26,112,12,58,1,3
Connection: SL_C05,SL_C10,6,31,49,30,2,0
Connection: SL_C05,SL_S05,155,31,9,19,0,2
Connection: SL_C05,SL_D02,159,20,4,18,0,2
Connection: SL_C07,SL_H03,20,112,143,31,1,3
Connection: SL_C07,SL_E02,1,28,248,18,2,0
Connection: SL_C08,SL_D01,27,112,82,63,1,3
Connection: SL_C08,SL_E01,42,42,4,86,0,2
Connection: SL_C09,SL_H03,4,17,425,23,2,0
Connection: SL_C12,SL_H01,2,17,247,20,2,0
Connection: SL_D01,SL_Q03,32,23,9,30,3,1
Connection: SL_D02,SL_F01,23,145,189,62,1,3
Connection: SL_D02,SL_E02,49,63,7,30,0,2
Connection: SL_D03,SL_S08,8,72,35,10,2,3
Connection: SL_D04,SL_F01,24,62,171,22,3,3
Connection: SL_D04,SL_H03,70,61,38,11,3,3
Connection: SL_D06,SL_S11,113,31,22,17,3,1
Connection: SL_E02,SL_S03,240,32,23,12,1,3
Connection: SL_F02,SL_S09,62,64,13,31,3,2
Connection: SL_F02,SL_H02,3,57,180,51,3,3
Connection: SL_F02,SL_H01,127,49,21,7,3,3
Connection: SL_H02,SL_Q02,31,66,83,29,3,1
Connection: SL_H02,SL_Q05,78,11,9,28,3,1
Connection: SL_Q01,SL_Q03,41,9,3,10,0,2
Connection: SL_Q02,SL_Q03,3,12,94,3,2,0
Connection: SL_Q04,SL_Q06,22,110,33,38,1,3
Connection: SL_Q04,SL_Q05,12,87,36,13,3,0
